Title;Artist
Smells Like Teen Spirit;Nirvana
I Will Always Love You;Whitney Houston
My Heart Will Go On;Celine Dion
No Scrubs;TLC
...Baby One More Time;Britney Spears
Torn;Natalie Imbruglia
I Want It That Way;Backstreet Boys
Livin' La Vida Loca;Ricky Martin
Wannabe;Spice Girls
Creep;Radiohead
(Everything I Do) I Do It For You (Classic Version);Bryan Adams
Don't Speak;No Doubt
Gangsta's Paradise;Coolio
Macarena;Los Del Rio
Killing Me Softly With His Song;Fugees
Enter Sandman;Metallica
I Believe I Can Fly;R. KellyPlay That Funky Music;Vanilla Ice
Rollin' in My 5.0;Vanilla Ice
Hooked;Vanilla Ice
Ice Ice Baby;Vanilla Ice
Cool as Ice (Everybody Get Loose);Vanilla Ice
Ninja Rap;Vanilla Ice
No Diggity;Blackstreet feat. Dr. Dre
California Love;2Pac feat. Dr. Dre
Genie in a Bottle;Christina Aguilera
Rhythm Is a Dancer;Snap!
Vogue;Madonna
Wonderwall;Oasis
You Oughta Know;Alanis Morissette
Mambo No. 5;Lou Bega
It’s All Coming Back to Me Now;Celine Dion
Tearin' Up My Heart;NSYNC
You Can't Touch This;MC Hammer
I’m Your Baby Tonight;Whitney Houston
I Don't Want to Miss a Thing;Aerosmith
The Kids Aren't Alright;The Offspring
Everybody (Backstreet's Back);Backstreet Boys
Don't Let Go (Love);En Vogue
Believe;Cher
Push It;Salt-N-Pepa
As Long as You Love Me;Backstreet Boys
Black Hole Sun;Soundgarden
The Fresh Prince of Bel-Air;DJ Jazzy Jeff & The Fresh Prince
What's Up?;4 Non Blondes
You Get What You Give;New Radicals
Are You That Somebody?;Aaliyah
Living La Vida Loca;Ricky Martin
My Own Worst Enemy;Lit
Bitter Sweet Symphony;The Verve
No Rain;Blind Melon
Ironic;Alanis Morissette
Say My Name;Destiny's Child
Virtual Insanity;Jamiroquai
I Want You Back;NSYNC
Kiss from a Rose;Seal
Unfinished Sympathy;Massive Attack
If You Had My Love;Jennifer Lopez
Smooth;Santana feat. Rob Thomas
The Sign;Ace of Base
The Rhythm of the Night;Corona
All Star;Smash Mouth
MmmBop;Hanson
Angels;Robbie Williams
I’m Like a Bird;Nelly Furtado
Bailamos;Enrique Iglesias
Gettin' Jiggy wit It;Will Smith
Sweet Lady;Tyrese
I'm Your Angel;Celine Dion & R. Kelly
Big Poppa;The Notorious B.I.G.
I'm Gonna Be (500 Miles);The Proclaimers
Gonna Make You Sweat (Everybody Dance Now);C&C Music Factory
Smash It Up;The Offspring
Bye Bye Bye;NSYNC
Doo Wop (That Thing);Lauryn Hill
Maceo;Maceo Parker
On and On;Erykah Badu
How Do I Live;LeAnn Rimes
Kiss Me;Sixpence None the Richer
The Boy is Mine;Brandy & Monica
Boys of Summer;Don Henley
I Just Wanna Be With You;Backstreet Boys
Foolish Games;Jewel
Push;Matchbox Twenty
The House That Built Me;Miranda Lambert
The Way You Make Me Feel;Michael Jackson
If I Had a Million Dollars;Barenaked Ladies
Don't Let Me Get Me;Pink
It's All Coming Back to Me Now;Celine Dion
I'll Be Missing You;Puff Daddy feat. Faith Evans
She’s in Love with the Boy;Trisha Yearwood
How's It Goin' Down;DMX
C’est La Vie;B*Witched
Jump Around;House of Pain
Say You'll Be There;Spice Girls
I Could Fall in Love;Selena
Another Night;Real McCoy
Rhythm of the Night;Corona
If You Could Only See;Tonic
The Sweet Escape;Gwen Stefani feat. Akon
That’s What’s Up;Chris Brown
When I Grow Up;The Pussycat Dolls
All I Want;The Offspring
Livin' La Vida Loca;Ricky Martin
I Believe;Blessid Union of Souls
Keep Their Heads Ringin';Dr. Dre
All That She Wants;Ace of Base
This Is How We Do It;Montell Jordan
Survivor;Destiny's Child
Hit Me Baby One More Time;Britney Spears
