Title;Artist
Hey Ya!;OutKast
Umbrella;Rihanna feat. Jay-Z
Lose Yourself;Eminem
I Gotta Feeling;The Black Eyed Peas
Hot in Herre;Nelly
Hips Don't Lie;Shakira feat. Wyclef Jean
Irreplaceable;Beyoncé
Yeah!;Usher feat. Lil Jon & Ludacris
Mr. Brightside;The Killers
Toxic;Britney Spears
Gold Digger;Kanye West feat. Jamie Foxx
Clocks;Coldplay
Love the Way You Lie;Eminem feat. Rihanna
In Da Club;50 Cent
Poker Face;Lady Gaga
Single Ladies (Put a Ring on It);Beyoncé
It's My Life;Bon Jovi
I Want It That Way;Backstreet Boys
Rehab;Amy Winehouse
Cry Me a River;Justin Timberlake
No One;Alicia Keys
Dilemma;Nelly feat. Kelly Rowland
Complicated;Avril Lavigne
Just Dance;Lady Gaga feat. Colby O'Donis
Bleeding Love;Leona Lewis
Rock Your Body;Justin Timberlake
Hot N Cold;Katy Perry
Where Is the Love?;The Black Eyed Peas
Beautiful Day;U2
California Gurls;Katy Perry feat. Snoop Dogg
Call Me Maybe;Carly Rae Jepsen
Don't Stop the Music;Rihanna
My Humps;Black Eyed Peas
Love Story;Taylor Swift
Turn My Swag On;Soulja Boy
Donk;Soulja Boy
Yahhh!;Soulja Boy
Kiss Me Thru The Phone (feat. Sammie);Soulja Boy
Crank That (Soulja Boy);Soulja Boy
Fireflies;Owl City
Fergalicious;Fergie
I Kissed a Girl;Katy Perry
Hey There Delilah;Plain White T's
Love Shack;The B-52's
Stronger;Kanye West
Milkshake;Kelis
You Belong With Me;Taylor Swift
Viva La Vida;Coldplay
Dance With Me;Diplo feat. Thomas Wesley & Morgan Wallen
Party Rock Anthem;LMFAO
Sorry;Justin Bieber
It's Raining Men;Geri Halliwell
Let Me Love You;Mario
Bleeding Love;Leona Lewis
I Will Survive;Gloria Gaynor
A Thousand Miles;Vanessa Carlton
Billionaire;Travie McCoy feat. Bruno Mars
Gold;Spandau Ballet
When I Grow Up;The Pussycat Dolls
Love Me Like You Do;Ellie Goulding
Everytime We Touch;Cascada
Down;Jay Sean feat. Lil Wayne
Poker Face;Lady Gaga
We Belong Together;Mariah Carey
Run It!;Chris Brown
Foolish;Ashanti
I Don't Want to Miss a Thing;Aerosmith
Shake It;Metro Station
No Scrubs;TLC
She Will Be Loved;Maroon 5
Take a Bow;Rihanna
Don't Let the Sun Go Down on Me;Elton John
I Wanna Dance With Somebody;Whitney Houston
Back to Black;Amy Winehouse
Smack That;Akon feat. Eminem
Mr. Saxobeat;Alexandra Stan
Since U Been Gone;Kelly Clarkson
Because Of You;Kelly Clarkson
Already Gone;Kelly Clarkson
Rock That Body;Black Eyed Peas
The Way I Am;Ingrid Michaelson
American Idiot;Green Day
All the Small Things;Blink-182
Hot Stuff;Donna Summer
Sandstorm (Radio Edit);Darude
Rude;Magic!
Wake Me Up When September Ends;Green Day
Take Me to Church;Hozier
Ain't No Other Man;Christina Aguilera
This Love;Maroon 5
Just the Way You Are;Bruno Mars
Somebody That I Used to Know;Gotye feat. Kimbra
Rolling in the Deep;Adele
Sugar, We're Goin Down;Fall Out Boy
Dance, Dance;Fall Out Boy
Thnks fr th Mmrs;Fall Out Boy
This Ain't a Scene, It's an Arms Race;Fall Out Boy
I Don't Care;Fall Out Boy
Titanium;David Guetta feat. Sia
In the End;Linkin Park
If I Ain't Got You;Alicia Keys
Glamorous;Fergie feat. Ludacris
With Arms Wide Open;Creed
Empire State of Mind;Jay-Z feat. Alicia Keys
Hollaback Girl;Gwen Stefani
Bootylicious;Destiny's Child
Party in the USA;Miley Cyrus
The Middle;Jimmy Eat World
Ain't No Mountain High Enough;Marvin Gaye & Tammi Terrell
All I Want for Christmas Is You;Mariah Carey
Never Gonna Give You Up;Rick Astley
Love at First Sight;Kylie Minogue
Beautiful Girls;Sean Kingston
I Wanna Love You;Akon feat. Snoop Dogg
I'm Yours;Jason Mraz
Bleeding Love;Leona Lewis
Chasing Cars;Snow Patrol
Fallin';Alicia Keys
Can't Get Enough of Your Love;Barry White
Eye of the Tiger;Survivor
Take a Bow;Rihanna
Just the Way You Are;Bruno Mars
Dancing in the Moonlight;Toploader
Shut Up And Drive;Rihanna
Numb;Linkin Park 
Bring Me To Life;Evanescence
Chop Suey!;System of A Down
My Immortal;Evanescence
Animal I Have Become;Three Days Grace
Mr. Brightside;The Killers
Welcome To The Black Parade;My Chemical Romance
Girlfriend;Avril Lavigne
Misery Business;Paramore
Supermassive Black Hole;Muse
Fat Lip;Sum41
In Too Deep;Sum41
Stacy's Mom;Fountains Of Wayne
Thnks fr th mmrs;Fall Out Boy
Famous Last Words;My Chemical Romance
I'm Just A Kid;Simple Plan
Ocean Avenue;Yellowcard
Hard Rock Hallelujah;Lordi
Lifestyles Of The Rich & Famous;Good Charlotte
Rollin';Limp Bizkit
The Middle;Jimmy Eat World
I Write Sins Not Tragedies;Panic! At The Disco
Before I Forget;Slipknot
Nobody;Skindred
I Miss You;Blink182
